product_id,product_name,category,subcategory,brand,sku,price,cost_price,profit_margin,stock_quantity,reorder_level,supplier_id,manufacturer,weight_kg,dimensions,color,material,warranty_months,rating,reviews_count,is_active,date_added,last_updated,tags,description,features,metadata_seasonal,metadata_limited_edition,metadata_bestseller,metadata_new_arrival
PROD1000,HP Smartphone Plus,Electronics,Smartphones,HP,SKU-87397-532,757.0,566.34,25.19,16,11,SUPP195,HP,4.45,74x87x13cm,Black,Wood,24,4.4,8928,False,2025-06-17,2026-02-07T20:30:35.791294,"[""electronics"", ""smartphones"", ""hp""]",High-quality smartphones from HP,"[""Premium Wood construction"", ""Advanced technology"", ""Eco-friendly design""]",False,True,True,False
PROD1001,Williams-Sonoma Cookware Max,Home & Kitchen,Cookware,Williams-Sonoma,SKU-15695-847,489.0,376.28,23.05,235,44,SUPP227,Williams-Sonoma,19.47,58x20x80cm,Silver,Wood,36,4.7,5925,True,2024-05-03,2026-02-07T20:30:35.791368,"[""home & kitchen"", ""cookware"", ""williams-sonoma""]",High-quality cookware from Williams-Sonoma,"[""Premium Wood construction"", ""Cutting-edge technology"", ""Energy efficient design""]",True,True,False,True
PROD1002,H&M Jacket Elite,Fashion,Clothing,H&M,SKU-99593-763,477.0,320.09,32.9,36,48,SUPP750,H&M,3.51,41x30x69cm,Gold,Fabric,60,3.5,9125,True,2024-02-26,2026-02-07T20:30:35.791418,"[""fashion"", ""clothing"", ""h&m""]",High-quality clothing from H&M,"[""Premium Fabric construction"", ""Cutting-edge technology"", ""Eco-friendly design""]",True,True,True,True
PROD1003,L'Oreal Fragrances Premium,Beauty,Fragrances,L'Oreal,SKU-44718-242,275.0,213.66,22.31,126,45,SUPP651,L'Oreal,5.33,84x64x84cm,White,Leather,60,3.7,2266,False,2025-09-04,2026-02-07T20:30:35.791461,"[""beauty"", ""fragrances"", ""l'oreal""]",High-quality fragrances from L'Oreal,"[""Premium Leather construction"", ""Advanced technology"", ""Energy efficient design""]",True,True,True,False
PROD1004,L'Oreal Personal Care Elite,Beauty,Personal Care,L'Oreal,SKU-25014-798,148.0,114.28,22.78,453,44,SUPP868,L'Oreal,5.41,92x53x24cm,Gold,Plastic,36,3.9,7433,True,2024-09-07,2026-02-07T20:30:35.791504,"[""beauty"", ""personal care"", ""l'oreal""]",High-quality personal care from L'Oreal,"[""Premium Plastic construction"", ""Cutting-edge technology"", ""Sustainable design""]",False,True,True,True
PROD1005,Dyson Lighting Plus,Home & Kitchen,Lighting,Dyson,SKU-74042-119,477.0,373.82,21.63,57,33,SUPP999,Dyson,19.71,49x40x17cm,Silver,Wood,24,4.8,1290,True,2024-08-15,2026-02-07T20:30:35.791544,"[""home & kitchen"", ""lighting"", ""dyson""]",High-quality lighting from Dyson,"[""Premium Wood construction"", ""Cutting-edge technology"", ""Eco-friendly design""]",True,True,True,False
PROD1006,Under Armour Outdoor Plus,Sports,Outdoor,Under Armour,SKU-77839-562,395.0,261.63,33.76,61,25,SUPP330,Under Armour,1.37,12x85x80cm,Blue,Fabric,24,4.2,117,True,2024-07-29,2026-02-07T20:30:35.791583,"[""sports"", ""outdoor"", ""under armour""]",High-quality outdoor from Under Armour,"[""Premium Fabric construction"", ""Cutting-edge technology"", ""Sustainable design""]",True,True,True,True
PROD1007,Dyson Chair Max,Home & Kitchen,Furniture,Dyson,SKU-71953-348,574.2,427.59,25.53,401,40,SUPP926,Dyson,8.2,22x22x94cm,Red,Wood,60,3.7,6735,False,2024-05-25,2026-02-07T20:30:35.791619,"[""home & kitchen"", ""furniture"", ""dyson""]",High-quality furniture from Dyson,"[""Premium Wood construction"", ""Cutting-edge technology"", ""Energy efficient design""]",True,True,False,False
PROD1008,Samsung Laptop Premium,Electronics,Laptops,Samsung,SKU-82132-200,1218.0,843.5,30.75,25,44,SUPP956,Samsung,0.39,21x40x31cm,Blue,Plastic,60,4.0,3502,False,2025-09-01,2026-02-07T20:30:35.791658,"[""electronics"", ""laptops"", ""samsung""]",High-quality laptops from Samsung,"[""Premium Plastic construction"", ""Advanced technology"", ""Energy efficient design""]",False,True,False,False
PROD1009,NARS Fragrances Plus,Beauty,Fragrances,NARS,SKU-51104-158,49.0,36.61,25.29,25,47,SUPP588,NARS,10.11,77x30x17cm,Gold,Plastic,12,4.7,1122,True,2024-04-26,2026-02-07T20:30:35.791696,"[""beauty"", ""fragrances"", ""nars""]",High-quality fragrances from NARS,"[""Premium Plastic construction"", ""Cutting-edge technology"", ""Energy efficient design""]",False,True,True,False
PROD1010,Apple Accessories Premium,Electronics,Accessories,Apple,SKU-44814-505,2185.5,1604.04,26.61,67,29,SUPP568,Apple,6.39,19x11x68cm,White,Fabric,12,3.1,3492,True,2025-07-16,2026-02-07T20:30:35.791733,"[""electronics"", ""accessories"", ""apple""]",High-quality accessories from Apple,"[""Premium Fabric construction"", ""Advanced technology"", ""Eco-friendly design""]",True,True,False,False
PROD1011,Kiehl's Personal Care Premium,Beauty,Personal Care,Kiehl's,SKU-23577-999,24.0,18.32,23.67,68,26,SUPP218,Kiehl's,17.81,80x29x44cm,Gold,Fabric,36,4.2,5617,True,2025-09-04,2026-02-07T20:30:35.791771,"[""beauty"", ""personal care"", ""kiehl's""]",High-quality personal care from Kiehl's,"[""Premium Fabric construction"", ""Cutting-edge technology"", ""Sustainable design""]",False,False,False,True
PROD1012,HP Smartphone Max,Electronics,Smartphones,HP,SKU-67912-664,390.0,310.42,20.41,361,37,SUPP674,HP,0.29,19x98x29cm,Gold,Metal,12,4.7,9543,True,2025-12-30,2026-02-07T20:30:35.791808,"[""electronics"", ""smartphones"", ""hp""]",High-quality smartphones from HP,"[""Premium Metal construction"", ""Innovative technology"", ""Energy efficient design""]",True,False,False,True
PROD1013,Samsung Tablets Pro,Electronics,Tablets,Samsung,SKU-33206-522,1024.0,767.89,25.01,12,21,SUPP854,Samsung,18.5,62x95x41cm,White,Metal,36,3.3,1771,False,2025-04-05,2026-02-07T20:30:35.791848,"[""electronics"", ""tablets"", ""samsung""]",High-quality tablets from Samsung,"[""Premium Metal construction"", ""Advanced technology"", ""Eco-friendly design""]",True,True,False,False
PROD1014,Nike Boots Plus,Fashion,Footwear,Nike,SKU-99065-963,218.0,146.11,32.98,274,31,SUPP128,Nike,2.4,43x32x84cm,Blue,Wood,36,3.1,9774,False,2024-04-14,2026-02-07T20:30:35.791885,"[""fashion"", ""footwear"", ""nike""]",High-quality footwear from Nike,"[""Premium Wood construction"", ""Innovative technology"", ""Sustainable design""]",False,False,True,False
PROD1015,Under Armour Outdoor Elite,Sports,Outdoor,Under Armour,SKU-66531-171,381.0,283.42,25.61,485,31,SUPP738,Under Armour,6.35,25x48x74cm,Silver,Metal,36,4.3,5344,False,2025-05-10,2026-02-07T20:30:35.791921,"[""sports"", ""outdoor"", ""under armour""]",High-quality outdoor from Under Armour,"[""Premium Metal construction"", ""Cutting-edge technology"", ""Eco-friendly design""]",True,True,False,False
PROD1016,Clinique Makeup Elite,Beauty,Makeup,Clinique,SKU-95813-429,175.0,112.36,35.79,238,38,SUPP552,Clinique,13.54,75x70x31cm,Red,Wood,12,3.6,5491,True,2024-12-30,2026-02-07T20:30:35.791957,"[""beauty"", ""makeup"", ""clinique""]",High-quality makeup from Clinique,"[""Premium Wood construction"", ""Advanced technology"", ""Sustainable design""]",False,True,True,False
PROD1017,Microsoft Ultrabook Pro,Electronics,Laptops,Microsoft,SKU-41979-251,1232.0,910.78,26.07,335,10,SUPP868,Microsoft,17.22,23x64x38cm,Blue,Leather,24,4.6,8486,False,2024-03-02,2026-02-07T20:30:35.791994,"[""electronics"", ""laptops"", ""microsoft""]",High-quality laptops from Microsoft,"[""Premium Leather construction"", ""Advanced technology"", ""Sustainable design""]",True,True,False,False
PROD1018,Clinique Personal Care Elite,Beauty,Personal Care,Clinique,SKU-30861-861,278.0,212.98,23.39,441,40,SUPP560,Clinique,5.26,41x91x45cm,Blue,Wood,60,4.3,4499,False,2024-03-01,2026-02-07T20:30:35.792031,"[""beauty"", ""personal care"", ""clinique""]",High-quality personal care from Clinique,"[""Premium Wood construction"", ""Advanced technology"", ""Sustainable design""]",False,True,False,False
PROD1019,Adidas Dumbbells Plus,Sports,Fitness,Adidas,SKU-71069-525,62.0,42.34,31.71,31,23,SUPP952,Adidas,8.46,84x99x12cm,Red,Fabric,60,4.0,5763,True,2024-04-19,2026-02-07T20:30:35.792067,"[""sports"", ""fitness"", ""adidas""]",High-quality fitness from Adidas,"[""Premium Fabric construction"", ""Innovative technology"", ""Eco-friendly design""]",True,False,True,False
PROD1020,NARS Serum Elite,Beauty,Skincare,NARS,SKU-61645-706,259.0,206.2,20.39,288,11,SUPP185,NARS,12.89,27x69x33cm,Black,Wood,12,3.5,5363,True,2024-07-25,2026-02-07T20:30:35.792103,"[""beauty"", ""skincare"", ""nars""]",High-quality skincare from NARS,"[""Premium Wood construction"", ""Innovative technology"", ""Eco-friendly design""]",False,False,False,False
PROD1021,L'Oreal Fragrances Pro,Beauty,Fragrances,L'Oreal,SKU-42411-304,199.0,145.28,26.99,429,11,SUPP736,L'Oreal,3.13,26x70x95cm,Black,Plastic,12,4.1,3571,False,2024-08-05,2026-02-07T20:30:35.792140,"[""beauty"", ""fragrances"", ""l'oreal""]",High-quality fragrances from L'Oreal,"[""Premium Plastic construction"", ""Cutting-edge technology"", ""Eco-friendly design""]",False,True,True,False
